mf_0,mf_1,mf_2,mf_3,mf_4,mf_5,mf_6,mf_7,mf_8,mf_9,mf_10,mf_11,mf_12,mf_13,mf_14,measure
0.3220171,1.6466054,1.5011166,7.686694,1.9528738,5.528707,5.8869033,6.3021193,4.6497874,6.431342,4.6153693,5.2420683,3.615421,2.8444307,4.184372,BR
0.13049835,1.4912741,1.0185359,8.686791,2.4532738,6.020091,6.905966,6.7549496,4.3597736,6.635511,4.523281,5.3934503,3.6955922,2.7440512,4.726511,MCR
1.2443423,0.66794676,2.1957762,8.042164,1.9527746,5.0521526,5.956239,6.2223964,4.5003757,6.480511,4.473742,5.153809,3.5161862,2.824091,4.063884,SYM
8.122178,1.8722364,4.9757395,4.1030746,0.58100927,4.568619,4.9832697,5.1326885,4.7315946,5.741605,4.4343967,4.4786134,4.4560213,3.0013926,3.798758,BR
1.340703,0.66059875,2.2797768,7.9726915,1.9078453,5.0042458,5.912997,6.1834316,4.515219,6.46672,4.4694366,5.132945,3.5068793,2.8235803,4.046109,SYM
-0.4827677,1.9807681,1.1980201,8.361751,2.2231123,6.211007,6.71908,6.7600255,4.4093313,6.590421,4.682347,5.4245825,3.4051423,2.879324,4.607022,MCR
-1.5093445,5.6009593,-1.4008461,3.9810588,1.0482951,6.141518,3.0908644,5.868531,5.6929636,5.82923,4.8373117,5.5622883,4.507058,2.7293365,4.0436187,BR
0.8506879,0.91892135,1.9424365,7.5857215,1.7698354,4.968568,5.359336,5.9295273,4.83346,6.3796015,4.613884,5.151307,3.7525887,2.8286889,3.7982152,BR
-1.9980172,7.3136983,-0.20596936,3.288348,0.9843529,4.5281706,3.9513738,5.872275,5.7819085,6.2188025,4.667258,5.6968994,3.9130008,2.700386,4.0860043,MCR
2.120797,-0.522935,3.3441355,8.046521,1.7220347,4.12071,5.7791615,6.0631304,4.5251026,6.478455,4.6130657,5.0394573,3.426413,2.7954376,3.7368112,BR
4.4229937,0.78981525,4.3832574,5.490975,0.930658,4.2135773,4.79351,5.359439,5.0111685,6.3652673,4.6305537,5.0156,3.4845896,2.6219697,4.210769,MCR
